1.9093,0.4861,659.0000,19.0000,33.0000
5.6930,0.4258,659.0000,19.0000,41.0000
8.6000,0.3703,659.0000,19.0000,29.0000
9.7670,0.2908,659.0000,19.0000,35.0000
10.6790,0.2310,659.0000,19.0000,33.0000
11.3110,0.3805,659.0000,19.0000,31.0000
11.7970,0.4056,659.0000,19.0000,30.0000
12.2030,0.2151,659.0000,19.0000,29.0000
12.5283,0.2406,659.0000,19.0000,18.0000
12.9042,0.3358,659.0000,19.0000,15.0000
13.2400,0.7266,659.0000,19.0000,13.0000
13.9670,0.6310,659.0000,19.0000,6.0000
14.5980,1.6437,659.0000,19.0000,29.0000
16.6376,0.4160,736.0000,21.0000,37.0000
18.0560,0.2705,736.0000,21.0000,34.0000
18.8224,0.2608,736.0000,21.0000,37.0000
19.4490,0.2756,736.0000,21.0000,28.0000
19.7245,0.2407,736.0000,21.0000,35.0000
20.2255,0.2909,736.0000,21.0000,26.0000
20.5160,2.4961,736.0000,21.0000,29.0000
23.0120,0.3809,592.0260,17.0000,25.0000
23.3930,2.1147,592.7020,17.0000,27.0000
25.5080,0.3756,660.4590,19.0000,39.0000
25.8836,1.8842,666.5780,19.0000,35.0000
27.7680,3.1169,557.0000,16.0000,24.0000
31.3110,0.3707,550.0000,16.0000,32.0000
31.6817,1.8041,550.0000,16.0000,32.0000
33.8370,0.3453,550.8830,16.0000,36.0000
34.1820,1.3935,555.5865,16.0000,29.0000
37.0989,0.1554,552.7750,16.0000,41.0000
37.2543,0.0752,559.7730,16.0000,36.0000
37.3294,0.1053,665.3240,19.0000,37.0000
37.4347,0.0802,658.8570,19.0000,32.0000
37.5150,0.0801,595.0310,17.0000,39.0000
37.5950,0.3408,595.0310,17.0000,36.0000
37.9350,2.7420,555.0000,16.0000,24.0000
40.6770,0.1350,577.4520,17.0000,27.0000
40.8120,0.1457,554.3830,16.0000,32.0000
