1.1903,1.2517,1.5332
1.5453,1.5963,1.7530
1.7964,1.8590,2.1530
2.1534,2.1966,2.3976
2.4137,2.4774,2.7343
2.7430,2.7982,3.3521
3.3539,3.3980,3.6259
3.6274,3.6728,3.9448
3.9490,3.9964,5.2734
6.0492,6.1365,6.3797
6.3811,6.4311,6.6354
6.6383,6.7142,6.9741
6.9750,7.0090,7.2266
7.2308,7.2866,7.5369
7.5444,7.5964,8.1566
8.1576,8.2018,8.4457
8.4474,8.5141,8.7884
8.7941,8.8432,10.1031
10.1113,10.1636,10.7033
10.7052,10.7704,11.3288
11.3345,11.4072,12.1603
12.2528,12.3337,12.6006
12.6020,12.6438,13.1343
13.1810,13.2412,13.6673
13.8063,13.8630,14.6098
15.0389,15.1170,15.6870
15.6913,15.7470,15.9710
15.9733,16.0360,16.3075
16.3105,16.3614,16.9129
16.9162,16.9849,17.2089
17.2093,17.2719,17.5927
20.1120,20.1668,20.3717
20.4130,20.4915,20.7195
21.0144,21.0810,21.3478
21.3486,21.4023,21.9432
21.9459,21.9903,22.2073
22.2092,22.2818,22.4219
22.5535,22.6145,23.2232
23.2251,23.2729,23.4994
23.5011,23.5792,23.8297
23.8567,23.9177,24.4828
24.4859,24.5498,24.7912
24.7983,24.8646,25.1373
25.1500,25.2013,25.7780
25.7793,25.8373,26.4732
26.4754,26.5345,26.7652
26.7663,26.8348,27.1061
30.3490,30.3810,30.9121
30.9146,30.9694,31.2088
31.2113,31.2845,31.6265
35.3537,35.4257,35.6662
35.6684,35.7174,36.0729
36.2373,36.3049,36.5814
36.5828,36.6263,37.1785
37.1809,37.2366,37.4503
37.4520,37.5284,37.6567
37.7970,37.8552,38.4695
38.4710,38.5110,38.7016
38.7020,38.7909,39.0378
39.0647,39.1185,39.7050
39.7067,39.7506,39.9341
39.9922,40.0598,40.3267
40.3287,40.3869,40.9825
40.9851,41.0362,41.6118
41.6194,41.6734,41.9047
41.9071,41.9678,42.2481
44.1223,44.1601,44.5458
44.6523,44.7855,45.3541
45.3690,45.4182,46.1870
46.2502,46.3239,46.5145
46.5892,46.6411,46.8769
46.8777,46.9414,47.1581
47.2073,47.2638,47.4285
47.5275,47.5876,47.8866
47.8917,47.9465,49.2838
49.2924,49.3298,53.5929
